0	ऀ
1	ँ
2	ं
3	ः
4	ऄ
5	अ
6	आ
7	इ
8	ई
9	उ
10	ऊ
11	ऋ
12	ऌ
13	ऍ
14	ऎ
15	ए
16	ऐ
17	ऑ
18	ऒ
19	ओ
20	औ
21	क
22	ख
23	ग
24	घ
25	ङ
26	च
27	छ
28	ज
29	झ
30	ञ
31	ट
32	ठ
33	ड
34	ढ
35	ण
36	त
37	थ
38	द
39	ध
40	न
41	ऩ
42	प
43	फ
44	ब
45	भ
46	म
47	य
48	र
49	ऱ
50	ल
51	ळ
52	ऴ
53	व
54	श
55	ष
56	स
57	ह
58	ऺ
59	ऻ
60	़
61	ऽ
62	ा
63	ि
64	ी
65	ु
66	ू
67	ृ
68	ॄ
69	ॅ
70	ॆ
71	े
72	ै
73	ॉ
74	ॊ
75	ो
76	ौ
77	्
78	ॎ
79	ॏ
80	ॐ
81	॑
82	॒
83	॓
84	॔
85	ॕ
86	ॖ
87	ॗ
88	क़
89	ख़
90	ग़
91	ज़
92	ड़
93	ढ़
94	फ़
95	य़
96	ॠ
97	ॡ
98	ॢ
99	ॣ
100	।
101	॥
102	०
103	१
104	२
105	३
106	४
107	५
108	६
109	७
110	८
111	९
112	॰
113	ॱ
114	ॲ
115	ॳ
116	ॴ
117	ॵ
118	ॶ
119	ॷ
120	ॸ
121	ॹ
122	ॺ
123	ॻ
124	ॼ
125	ॽ
126	ॾ
127	ॿ
128	गा.वि.स.
129	वि.सं.
130	ज.ब.रा.
131	बि.स.
132	इ.सं.
133	ई.सं.
134	प्र.
135	डा.
136	श्री
137	रु.
138	न.पा.
139	उ.मा.वि.
140	मा.वि.
141	प्रा.वि.
142	नि.मा.वि.
143	जि.वि.स.
144	गा.पा.
145	प्र.जि.अ.
146	जि.प्र.का.
147	जि.प्र.शा.
148	स.प्र.
149	ने.प्र.
150	ने.से.
151	स.प्र.नि.
152	व.प्र.अ.
153	प्र.अ.
154	ना.प्र.
155	ह.प्र.
156	जि.अ.
157	उ.अ.
158	स.अ.
159	पुन.अ.
160	मु.स.
161	स.स.
162	उ.स.
163	ना.सु.
164	ख.सु.
165	सु.
166	का.मु.
167	अ.प्र.
168	ने.रा.बैं.
169	रा.ब.बैं.
170	ने.बैं.लि.
171	कृ.वि.बैं.
172	ना.बि.बैं.
173	ए.रे.बैं.
174	हि.बि.बैं.
175	सि.बि.बैं.
176	प्र.ब.बैं.
177	म.बि.बैं.
178	ग्लो.बैं.
179	ल.बि.बैं.
180	ने.इ.बि.बैं.
181	एन.आइ.सि.
182	सि.बैं.
183	कु.बि.बैं.
184	सा.बि.बैं.
185	ने.वि.प्रा.
186	ने.दू.सं.
187	ने.टे.
188	ने.ते.नि.
189	ने.रे.
190	ने.टि.भी.
191	ने.का.
192	ने.क.पा.
193	ने.क.पा.ए.मा.ले.
194	ने.क.पा.मा.के.
